start,finish,distance,flights,steps
18/12/15 0:00,19/12/15 0:00,2.137336704,9,4847
19/12/15 0:00,20/12/15 0:00,2.650968345,4,5688
20/12/15 0:00,21/12/15 0:00,5.21845547,18,10698
21/12/15 0:00,22/12/15 0:00,2.445244771,7,5345
22/12/15 0:00,23/12/15 0:00,3.079913306,11,6726
23/12/15 0:00,24/12/15 0:00,1.915028732,1,4306
24/12/15 0:00,25/12/15 0:00,2.45984078,3,5378
25/12/15 0:00,26/12/15 0:00,2.33296921,4,4708
26/12/15 0:00,27/12/15 0:00,2.206197059,2,4778
27/12/15 0:00,28/12/15 0:00,0.785841933,1,1713
28/12/15 0:00,29/12/15 0:00,5.005430784,6,8850
29/12/15 0:00,30/12/15 0:00,5.330401704,6,11485
30/12/15 0:00,31/12/15 0:00,1.226889409,1,2657
31/12/15 0:00,1/1/16 0:00,3.465537342,1,7354
1/1/16 0:00,2/1/16 0:00,3.433728277,5,7085
2/1/16 0:00,3/1/16 0:00,4.685699775,0,10394
3/1/16 0:00,4/1/16 0:00,4.014857163,11,8349
4/1/16 0:00,5/1/16 0:00,3.220712884,7,7221
5/1/16 0:00,6/1/16 0:00,2.62621913,5,6035
6/1/16 0:00,7/1/16 0:00,2.56871744,6,5876
7/1/16 0:00,8/1/16 0:00,3.463833711,7,7623
8/1/16 0:00,9/1/16 0:00,3.192903444,9,7240
9/1/16 0:00,10/1/16 0:00,2.747591565,3,5577
10/1/16 0:00,11/1/16 0:00,3.807377416,13,8329
11/1/16 0:00,12/1/16 0:00,2.465855653,7,5294
12/1/16 0:00,13/1/16 0:00,2.322151137,6,5157
13/1/16 0:00,14/1/16 0:00,1.699406715,6,3928
14/1/16 0:00,15/1/16 0:00,2.044696473,4,4539
15/1/16 0:00,16/1/16 0:00,2.105783475,9,5252
16/1/16 0:00,17/1/16 0:00,3.947504016,8,9732
17/1/16 0:00,18/1/16 0:00,3.411924362,5,7154
18/1/16 0:00,19/1/16 0:00,2.621123887,7,6203
19/1/16 0:00,20/1/16 0:00,3.073979211,8,6806
20/1/16 0:00,21/1/16 0:00,1.954529299,5,4493
21/1/16 0:00,22/1/16 0:00,1.109122723,6,2516
22/1/16 0:00,23/1/16 0:00,1.733526207,5,4298
23/1/16 0:00,24/1/16 0:00,0.513631641,1,1075
24/1/16 0:00,25/1/16 0:00,0.805067158,3,1734
25/1/16 0:00,26/1/16 0:00,1.6551713,7,3970
26/1/16 0:00,27/1/16 0:00,1.605610733,6,3987
27/1/16 0:00,28/1/16 0:00,2.106752814,8,5004
28/1/16 0:00,29/1/16 0:00,2.043217609,5,4993
29/1/16 0:00,30/1/16 0:00,0.172952458,0,291
30/1/16 0:00,31/1/16 0:00,2.239483914,6,5017
31/1/16 0:00,1/2/16 0:00,0.455595572,0,1004
1/2/16 0:00,2/2/16 0:00,2.881410065,9,6875
2/2/16 0:00,3/2/16 0:00,3.006759276,8,6748
3/2/16 0:00,4/2/16 0:00,1.925181937,6,4574
4/2/16 0:00,5/2/16 0:00,2.072086515,7,4706
5/2/16 0:00,6/2/16 0:00,1.906708572,5,4360
6/2/16 0:00,7/2/16 0:00,3.439705868,11,7089
7/2/16 0:00,8/2/16 0:00,4.320412541,15,9050
8/2/16 0:00,9/2/16 0:00,1.272133242,1,2681
9/2/16 0:00,10/2/16 0:00,3.991029885,6,8665
10/2/16 0:00,11/2/16 0:00,2.327749692,5,4848
11/2/16 0:00,12/2/16 0:00,2.219090511,5,4931
12/2/16 0:00,13/2/16 0:00,2.542936749,4,5779
13/2/16 0:00,14/2/16 0:00,3.560314016,4,7323
14/2/16 0:00,15/2/16 0:00,2.406906168,3,4819
15/2/16 0:00,16/2/16 0:00,2.683695966,6,5764
16/2/16 0:00,17/2/16 0:00,2.272982035,6,5527
17/2/16 0:00,18/2/16 0:00,2.048381204,7,4743
18/2/16 0:00,19/2/16 0:00,2.04760449,9,4939
19/2/16 0:00,20/2/16 0:00,3.935435805,5,8822
20/2/16 0:00,21/2/16 0:00,6.174479961,22,13861
21/2/16 0:00,22/2/16 0:00,1.921640122,1,4190
22/2/16 0:00,23/2/16 0:00,2.056937485,5,4836
23/2/16 0:00,24/2/16 0:00,1.852549859,7,4453
24/2/16 0:00,25/2/16 0:00,1.680224986,4,3501
25/2/16 0:00,26/2/16 0:00,2.371985107,4,5335
26/2/16 0:00,27/2/16 0:00,2.750959397,5,5948
27/2/16 0:00,28/2/16 0:00,2.455721089,8,4986
28/2/16 0:00,29/2/16 0:00,3.51463702,8,7432
29/2/16 0:00,1/3/16 0:00,2.099607045,7,5034
1/3/16 0:00,2/3/16 0:00,2.656765738,12,6270
2/3/16 0:00,3/3/16 0:00,1.813217062,5,4155
3/3/16 0:00,4/3/16 0:00,1.786839855,6,4391
4/3/16 0:00,5/3/16 0:00,2.425503808,13,4986
5/3/16 0:00,6/3/16 0:00,4.289580102,14,9401
6/3/16 0:00,7/3/16 0:00,2.035649308,3,3949
7/3/16 0:00,8/3/16 0:00,1.715146047,7,3965
8/3/16 0:00,9/3/16 0:00,2.163148463,5,5052
9/3/16 0:00,10/3/16 0:00,2.096456693,6,4814
10/3/16 0:00,11/3/16 0:00,2.140692108,5,5084
